term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),3.38254587288661,0.030917529471652994,109.40543861979421,0,3.321944390962515,3.443147354810705
season夏季,0.296988504576324,0.01794221306516313,16.552501271594043,4.526095670854955e-61,0.2618199539408772,0.33215705521177075
season秋季,0.35094043513807033,0.02123850164193244,16.523785013401685,7.236100733356143e-61,0.30931082580823993,0.3925700444679007
season冬季,0.5781426801560327,0.01803629315680147,32.05440691886379,4.6121066948973196e-219,0.542789723034354,0.6134956372777113
yr2012年,0.4619564961215482,0.005777122510236126,79.96307769188486,0,0.4506327522338501,0.47328024000924634
mnth2月,0.11152587969344356,0.01448500045183401,7.699404640289312,1.4404691234858086e-14,0.08313381512511647,0.13991794426177065
mnth3月,0.1409509729934682,0.016286880102323074,8.65426478907791,5.38995897706589e-18,0.10902704223354823,0.17287490375338818
mnth4月,0.10359799290630206,0.024190796784528477,4.282537438889133,1.857697299316088e-5,0.056181586772973316,0.15101439903963082
mnth5月,0.22409081610861964,0.02587880016729612,8.659242880657601,5.160695050427803e-18,0.17336575277542005,0.27481587944181923
mnth6月,0.12251216807986419,0.026565076497968652,4.611775467284361,4.021015640249845e-6,0.07044193379158173,0.17458240236814665
mnth7月,-0.02323771865664691,0.02980297720243033,-0.7797113187320076,0.4355714759179823,-0.08165456550960265,0.03517912819630882
mnth8月,0.0385234094429565,0.028982675422394515,1.3291874846443608,0.18380364223838264,-0.01828556303113848,0.09533238191705148
mnth9月,0.13240911144698597,0.02581968156773721,5.128224029394568,2.9564275341232743e-7,0.0817999265427479,0.18301829635122405
mnth10月,0.05588044944936534,0.023952644217791124,2.3329553489488832,0.019661885075091517,0.008930846411721947,0.10283005248700874
mnth11月,-0.03191067146224284,0.023039989001569283,-1.3850124433683266,0.16606651237765174,-0.0770713780539555,0.01325003512946981
mnth12月,-0.024153296508271936,0.018298874966131817,-1.3199334141019972,0.18687470597399952,-0.060020940509648346,0.011714347493104474
hr1时,-0.24130434641050905,0.03508551414511981,-6.877606108675852,6.294714257451142e-12,-0.3100754994618069,-0.17253319335921122
hr2时,-0.49238637974402816,0.035152113691241146,-14.00730505337197,2.4559493349375156e-44,-0.5612880746354858,-0.4234846848525705
hr3时,-1.1998610203829,0.03520023462215841,-34.08673360454229,1.5343558506474504e-246,-1.2688570371614873,-1.1308650036043129
hr4时,-2.234821129517688,0.03520829361109463,-63.474281207807934,0,-2.303832942728936,-2.1658093163064396
hr5时,-2.2323405365693114,0.03541894964187532,-63.0267288878055,0,-2.3017652568872955,-2.1629158162513273
hr6时,-1.6010344016125853,0.03514599477517915,-45.55382233036892,0,-1.669924102810256,-1.5321447004149145
hr7时,-0.764143157934136,0.03505959589462241,-21.795549504646274,6.364717928010426e-104,-0.8328635085954672,-0.6954228072728048
hr8时,0.12053409455974781,0.03503941964244406,3.439956933925415,5.831784293982905e-4,0.051853291391459416,0.1892148977280362
hr9时,0.6114038889368979,0.03503608175323901,17.45069249589746,1.2892560807169099e-67,0.542729628368739,0.6800781495050569
hr10时,0.9817873471644659,0.03507969752020195,27.98733787824331,1.2906046217113487e-168,0.9130275952857664,1.0505470990431656
hr11时,1.1644379544186125,0.035146388074956,33.13108453520854,1.957245364551139e-233,1.0955474823136369,1.2333284265235882
hr12时,1.296941979837602,0.035251880732161525,36.79071734332621,2.2766079464737432e-285,1.2278447314646639,1.3660392282105402
hr13时,1.2906785952253672,0.03533159506468521,36.530436649191415,1.6054880436456093e-281,1.2214250987056956,1.3599320917450388
hr14时,1.2681441377054858,0.035401301681769026,35.821963528492375,3.646778125828762e-271,1.198754009172604,1.3375342662383676
hr15时,1.2554309544102065,0.035423210255547316,35.44091417331676,1.1477054720666435e-265,1.185997882858898,1.324864025961515
hr16时,1.2265760335622666,0.03541448677847403,34.63486683386912,3.327843999280618e-254,1.1571600609075132,1.29599200621702
hr17时,1.1307215206095431,0.035350324985763494,31.986170454300332,3.635951072857573e-218,1.0614313115519338,1.2000117296671524
hr18时,0.9974973149683005,0.03528900230459733,28.266520723889943,7.005228022583999e-172,0.9283273045623214,1.0666673253742796
hr19时,0.8242951727673374,0.03518025338262771,23.43062068945703,1.5035326592096915e-119,0.7553383212372979,0.8932520242973769
hr20时,0.5857856973253575,0.0351359641337679,16.67196878660233,6.372172806712914e-62,0.5169156571984306,0.6546557374522843
