term,coefficient
hr17时,373.9990184801181
hr18时,338.52261074970284
hr8时,307.3788109087942
hr19时,232.01606757903312
hr16时,215.96880543901997
hr12时,164.73714228120215
hr13时,163.785517523267
hr7时,163.7398487582251
hr9时,156.96127389559408
hr15时,154.80470042690524
hr20时,152.91651604457675
hr14时,145.81019674377836
hr11时,128.00354276558832
hr10时,104.83049266849146
hr21时,103.95927828856497
yr2012年,83.99554447387891
season冬季,69.55556684305908
hr22时,68.84079524060753
(Intercept),-65.02060313425628
weathersit小雨雪,-65.00842621155144
weathersit恶劣天气,-55.4011632805543
hr4时,-43.77363629821226
hr3时,-39.90071668403295
season夏季,37.14562068874565
hr2时,-31.344199211105906
hr6时,30.805580435753633
mnth9月,29.42462729605809
season秋季,28.956267175707428
hr5时,-28.67294766866105
hr23时,27.692770327705606
holiday节假日,-22.505430174291885
hr1时,-21.573794688300175
mnth5月,17.331195411855674
mnth7月,-16.24540320208157
mnth10月,14.123376443166697
mnth3月,11.36982257484616
mnth11月,-11.003178280475392
weathersit多云或有雾,-10.47188773051376
mnth4月,7.559048985513431
mnth12月,-6.370730266648785
temp_celsius,5.8569275191612595
workingday工作日,3.8513136865183637
mnth2月,3.649858241546676
mnth8月,2.51617704311228
mnth6月,1.0326960220425827
hum_percent,-0.8584025752117963
windspeed_real,-0.4786704886325009
