item,value
hour_rows,17379
hour_variables,17
day_rows,731
cnt_mean,189.463
cnt_median,142
cnt_max,977
casual_mean,35.676
registered_mean,153.787
season_lowest_mean,春季
season_highest_mean,秋季
weather_best_mean,晴朗或少云
weather_bad_mean,恶劣天气
year_2011_mean,143.794
year_2012_mean,234.666
peak_hour,17
peak_hour_mean,461.452
lowest_hour,4
lowest_hour_mean,6.353
workingday_mean,193.208
nonworkingday_mean,181.405
poisson_overdispersion,32.427
poisson_AIC,687000.919
negbin_AIC,188324.304
best_prediction_model,随机森林
best_prediction_RMSE,43.473
best_prediction_MAE,26.999
best_prediction_R2,0.943
top_tree_variables,hr、temp_celsius、mnth、yr、season
top_rf_variables,hr、workingday、temp_celsius、yr、hum_percent
lasso_nonzero_terms,46
lasso_lambda_min,0.056059
casual_total_share,0.1883
registered_total_share,0.8117
